train_order,algorithm,features,n_features,train_time,mem_max,f1_weighted,accuracy,roc_auc_ovr_weighted,confusion_matrix
11,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),"('petal_length', 'sepal_width')",2,19.825025899999986,1395.2890625,0.9599331662489557,0.9600000000000002,0.9813333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
2,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),"('petal_length', 'sepal_width', 'sepal_length')",3,21.1036869,1384.515625,0.9532497911445279,0.9533333333333335,0.983,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
1,SVC(probability=True),"('petal_length', 'sepal_width', 'sepal_length')",3,12.5960003,1378.6015625,0.9464651527809422,0.9466666666666667,0.9956666666666667,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
8,QuadraticDiscriminantAnalysis(),"('petal_length', 'sepal_width', 'sepal_length')",3,12.853653600000001,1385.05859375,0.9394393913171676,0.9400000000000001,0.9953333333333333,"[[10  0  0]
 [ 0  9  1]
 [ 0  0 10]]"
0,KNeighborsClassifier(n_neighbors=3),"('petal_length', 'sepal_width', 'sepal_length')",3,12.745004900000005,1378.73046875,0.9199331662489557,0.9200000000000002,0.9786666666666666,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
5,"MLPClassifier(alpha=1, max_iter=1000)","('petal_length', 'sepal_width', 'sepal_length')",3,11.1475674,1385.00390625,0.9191867394855684,0.9266666666666667,0.9869999999999999,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
4,"RandomForestClassifier(max_depth=5, max_features=1, n_estimators=10)","('petal_length', 'sepal_width', 'sepal_length')",3,6.855766500000001,1384.49609375,0.9186873750031644,0.9266666666666667,0.976,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
3,DecisionTreeClassifier(max_depth=5),"('petal_length', 'sepal_width', 'sepal_length')",3,12.866340199999996,1384.35546875,0.9057521428930772,0.9133333333333334,0.9393333333333332,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
7,GaussianNB(),"('petal_length', 'sepal_width', 'sepal_length')",3,12.930373500000002,1384.98046875,0.8914423785833128,0.8933333333333333,0.9753333333333332,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
10,LogisticRegression(),"('petal_length', 'sepal_width', 'sepal_length')",3,12.565761100000003,1394.234375,0.8504390451832908,0.8533333333333333,0.9563333333333333,"[[10  0  0]
 [ 0  8  2]
 [ 0  2  8]]"
12,GaussianProcessClassifier(kernel=1**2 * RBF(length_scale=1)),"('sepal_length',)",1,17.212741400000027,1395.41796875,0.6937569726455176,0.7,0.8673333333333334,"[[10  0  0]
 [ 3  2  5]
 [ 1  1  8]]"
6,AdaBoostClassifier(),"('petal_length', 'sepal_width', 'sepal_length')",3,7.322894099999999,1384.9296875,0.6684760333883141,0.7333333333333333,0.9710000000000001,"[[10  0  0]
 [ 0  9  1]
 [ 0  2  8]]"
9,"XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
              colsample_bynode=1, colsample_bytree=1, enable_categorical=False,
              eval_metric='mlogloss', gamma=0, gpu_id=-1, importance_type=None,
              interaction_constraints='', learning_rate=0.300000012,
              max_delta_step=0, max_depth=6, min_child_weight=1, missing=nan,
              monotone_constraints='()', n_estimators=100, n_jobs=12,
              num_parallel_tree=1, objective='multi:softprob', predictor='auto',
              random_state=0, reg_alpha=0, reg_lambda=1, scale_pos_weight=None,
              subsample=1, tree_method='exact', use_label_encoder=False,
              validate_parameters=1, ...)","('petal_length', 'sepal_width', 'sepal_length')",3,7.769904199999985,1394.63671875,,,,"[[10  0  0]
 [ 0  9  1]
 [ 0  1  9]]"
